make_name,count
Ford,68888
Chevrolet,48696
Honda,35927
Toyota,35804
Nissan,29009
Jeep,28372
Hyundai,18386
Subaru,16885
Kia,14126
GMC,13011
BMW,12986
Mercedes-Benz,12755
Volkswagen,11683
RAM,10929
Buick,9316
Dodge,9141
Mazda,7650
Audi,7639
Cadillac,7097
Lexus,6956
Lincoln,6854
Acura,6362
Volvo,5391
Chrysler,4627
INFINITI,4527
Land Rover,3257
Mitsubishi,3188
Porsche,2125
MINI,1659
Jaguar,1400
Alfa Romeo,1127
Maserati,779
Genesis,474
FIAT,420
Pontiac,383
Mercury,266
Scion,259
Saturn,207
Tesla,206
Ferrari,186
Bentley,160
McLaren,139
Hummer,124
Aston Martin,107
Suzuki,95
Saab,94
Rolls-Royce,74
Oldsmobile,44
smart,43
Lamborghini,37
Plymouth,35
Lotus,24
Karma,17
Isuzu,14
MG,7
Freightliner,7
Triumph,5
Shelby,3
AMC,3
Fisker,2
Maybach,2
AM General,1
Willys,1
Austin-Healey,1
Pininfarina,1
Sunbeam,1
Hudson,1
Studebaker,1
Kaiser,1
Spyker,1
Pagani,1
Datsun,1
